0 103.36
1 85.14
2 98.9
3 87.92
4 105.1
5 137.16
6 85.74
7 99.54
8 95.92
9 121.64
10 93.22
11 79.1
12 85.02
13 90.42
14 99.06
15 121.22
16 99.92
17 88.56
18 102.92
19 120.98
20 86.22
21 116.78
22 123.8
23 92.56
24 98.02
25 102.34
26 92.34
27 103.16
28 79.44
29 123.34
30 88.9
31 90.88
32 106.58
33 94.46
34 101.5
35 85.52
36 105
37 133.22
38 96.64
39 95.16
40 102.76
41 107.68
42 113.9
43 115.6
44 113.24
45 109.42
46 115.5
47 104.76
48 106.86
49 92.06
50 132.08
51 100.28
52 105.66
53 99.08
54 81.88
55 102.14
56 88.8
57 94.56
58 91.84
59 108.66
60 120.68
61 85.96
62 85.92
63 86.64
64 94
65 88.9
66 107.42
67 102.5
68 113.28
69 118.88
70 94.4
71 90.5
72 88.86
73 89.36
74 75.46
75 90.92
76 87.54
77 84.2
78 116.44
79 126.02
80 89.98
81 97.86
82 84.8
83 100.22
84 82.34
85 78.96
86 87.86
87 126.68
88 83.14
89 108.58
90 117.26
91 116.42
92 81.04
93 97.44
94 79.22
95 99.66
96 100.22
97 95.24
98 89.88
99 108.24
